Job Title,Company,Location,Source,Job Link,
Mid-level Data Engineer,Maverc Technologies,"Alexandria, VA",LinkedIn,https://www.linkedin.com/jobs/view/mid-level-data-engineer-at-maverc-technologies-4169629426?position=7&pageNum=2&refId=Jo%2Fu4ZxPZJv1uqyLlu9%2BVA%3D%3D&trackingId=gdiz6ep5BjnNckkuOfa3KA%3D%3D,
Data Analyst 1, SRS,Massachusetts Institute of Technology,"Cambridge, MA",LinkedIn,https://www.linkedin.com/jobs/view/data-analyst-1-srs-at-massachusetts-institute-of-technology-4180563966?position=8&pageNum=2&refId=Jo%2Fu4ZxPZJv1uqyLlu9%2BVA%3D%3D&trackingId=JumGKhf6K9ZEFAEux6f3fQ%3D%3D
Lead Generation & Targeting Specialist,Alliance Franchise Brands,"Plymouth, MI",LinkedIn,https://www.linkedin.com/jobs/view/lead-generation-targeting-specialist-at-alliance-franchise-brands-4167233981?position=9&pageNum=2&refId=Jo%2Fu4ZxPZJv1uqyLlu9%2BVA%3D%3D&trackingId=UdPq6wMJWxPJkfjf46W%2BUg%3D%3D,
Data Analyst,Almo Corporation,"Philadelphia, PA",LinkedIn,https://www.linkedin.com/jobs/view/data-analyst-at-almo-corporation-4114623115?position=10&pageNum=2&refId=Jo%2Fu4ZxPZJv1uqyLlu9%2BVA%3D%3D&trackingId=hdRR7DbaHnEC7r6NoJFOgQ%3D%3D,
Junior Software Developer - Open Source Focus,Neural Solutions,"Baltimore, MD",LinkedIn,https://www.linkedin.com/jobs/view/junior-software-developer-open-source-focus-at-neural-solutions-4112269215?position=1&pageNum=5&refId=YqtF1ZViL17QRVuOxtpG%2FA%3D%3D&trackingId=tLinIR3CbPvN6TExFwDGWw%3D%3D,
Sr. Data Engineer,Revic AI,"San Francisco, CA",LinkedIn,https://www.linkedin.com/jobs/view/sr-data-engineer-at-revic-ai-4187285682?position=2&pageNum=5&refId=YqtF1ZViL17QRVuOxtpG%2FA%3D%3D&trackingId=CfEoLJhWAPaAiyhBkG9E8g%3D%3D,
Developer, Graphics (Remote),The Athletic,United States,LinkedIn,https://www.linkedin.com/jobs/view/developer-graphics-remote-at-the-athletic-4120213904?position=3&pageNum=5&refId=YqtF1ZViL17QRVuOxtpG%2FA%3D%3D&trackingId=mLqaCc0mq7brHFyniqAFpg%3D%3D
Staff Data Engineer,brightwheel,United States,LinkedIn,https://www.linkedin.com/jobs/view/staff-data-engineer-at-brightwheel-4153488636?position=4&pageNum=5&refId=YqtF1ZViL17QRVuOxtpG%2FA%3D%3D&trackingId=rKnPNC5XUM%2FMCyqgp5GKfw%3D%3D,
Experienced Associate - Equity Research, IT Services,Guggenheim Securities,"New York, NY",LinkedIn,https://www.linkedin.com/jobs/view/experienced-associate-equity-research-it-services-at-guggenheim-securities-4184968157?position=5&pageNum=5&refId=YqtF1ZViL17QRVuOxtpG%2FA%3D%3D&trackingId=hrIkTjLjaTImz3hj92lI%2FQ%3D%3D
Senior Software Engineer (Hybrid/ In-office),Black Book,"Lawrenceville, GA",LinkedIn,https://www.linkedin.com/jobs/view/senior-software-engineer-hybrid-in-office-at-black-book-4133514752?position=6&pageNum=5&refId=YqtF1ZViL17QRVuOxtpG%2FA%3D%3D&trackingId=V8Z4waDOL9S4pVxFNWj23g%3D%3D,
Data Analyst,S&P Global,"Monterey, CA",LinkedIn,https://www.linkedin.com/jobs/view/data-analyst-at-s-p-global-4178560022?position=7&pageNum=5&refId=YqtF1ZViL17QRVuOxtpG%2FA%3D%3D&trackingId=blKxzxguPp1GixL52d71Lw%3D%3D,
AI & SEO Content Optimization Intern,HP,"Spring, TX",LinkedIn,https://www.linkedin.com/jobs/view/ai-seo-content-optimization-intern-at-hp-4181739746?position=8&pageNum=5&refId=YqtF1ZViL17QRVuOxtpG%2FA%3D%3D&trackingId=B5qWjLuCywdU%2Fn38BY%2BiVw%3D%3D,
Software Engineer,Corgi (YC S24),"San Francisco, CA",LinkedIn,https://www.linkedin.com/jobs/view/software-engineer-at-corgi-yc-s24-4161664259?position=9&pageNum=5&refId=YqtF1ZViL17QRVuOxtpG%2FA%3D%3D&trackingId=3EItDNm7Kx%2F1%2FRtXkLkbtw%3D%3D,
Senior Pricing Data Scientist,"AmTrust Financial Services, Inc.",United States,LinkedIn,https://www.linkedin.com/jobs/view/senior-pricing-data-scientist-at-amtrust-financial-services-inc-4081324336?position=10&pageNum=5&refId=YqtF1ZViL17QRVuOxtpG%2FA%3D%3D&trackingId=26wiVTLdq3oZi2d%2B%2BAnFCA%3D%3D,
Sr. Software Engineer - Attack Analyzer,Splunk,"Georgia, United States",LinkedIn,https://www.linkedin.com/jobs/view/sr-software-engineer-attack-analyzer-at-splunk-4095351506?position=1&pageNum=7&refId=6G63BalkCWdt0OnOsX8A3Q%3D%3D&trackingId=gW8TdlAfVI6AsiP0eOqNyA%3D%3D,
Sr. Software Engineer - Attack Analyzer,Splunk,"Oregon, United States",LinkedIn,https://www.linkedin.com/jobs/view/sr-software-engineer-attack-analyzer-at-splunk-4095348707?position=2&pageNum=7&refId=6G63BalkCWdt0OnOsX8A3Q%3D%3D&trackingId=I1Cq1pynFbKHDKYH1psKcQ%3D%3D,
